CNTRYID,SEQID,booklet_id,item_id,event_name,event_type,timestamp,event_description
ZA6712_US.data,101,L11,6,stimulus,cba_event,88781,"<cbaloggingmodel:CBAItemLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" name=""de.softcon.cba.runtime.st308balticstock-1278523942"" entryPoint=""C308A120""/> "
ZA6712_US.data,101,L11,6,stimulus,cba_event,104280,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I3"" isSelected=""true""/> "
ZA6712_US.data,101,L11,6,stimulus,cba_event,106450,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I4"" isSelected=""true""/> "
ZA6712_US.data,101,L11,6,taoPIAAC,NEXT_INQUIRY,109101,REQUEST
ZA6712_US.data,101,L11,6,taoPIAAC,NEXT_BUTTON,109101,id=nextInquiry_button
ZA6712_US.data,101,L11,6,taoPIAAC,BUTTON,109102,id=nextInquiry_button
ZA6712_US.data,101,L11,6,taoPIAAC,DOACTION,109104,action=tao_item.nextInquiry
ZA6712_US.data,101,L11,6,stimulus,itemScoreResult,109173,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I3, I4]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,101,L11,6,stimulus,ItemScore,109174,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I3, I4]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,101,L11,6,stimulus,SnapshotRef,109174,http://localhost:8080/cba-runtime/item?custom_service_handler=downloadService&file=/usr/local/jboss-web-2.1.2.GA/temp/snapshot8220277584301866729.xml
ZA6712_US.data,101,L11,6,stimulus,gotoFrame,109174,C308A121
ZA6712_US.data,102,L11,6,stimulus,cba_event,87192,"<cbaloggingmodel:CBAItemLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" name=""de.softcon.cba.runtime.st308balticstock-1278523942"" entryPoint=""C308A120""/> "
ZA6712_US.data,102,L11,6,stimulus,cba_event,107099,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I3"" isSelected=""true""/> "
ZA6712_US.data,102,L11,6,stimulus,cba_event,110297,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I4"" isSelected=""true""/> "
ZA6712_US.data,102,L11,6,taoPIAAC,NEXT_INQUIRY,112998,REQUEST
ZA6712_US.data,102,L11,6,taoPIAAC,NEXT_BUTTON,112998,id=nextInquiry_button
ZA6712_US.data,102,L11,6,taoPIAAC,BUTTON,112999,id=nextInquiry_button
ZA6712_US.data,102,L11,6,taoPIAAC,DOACTION,113001,action=tao_item.nextInquiry
ZA6712_US.data,102,L11,6,stimulus,itemScoreResult,113066,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I3, I4]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,102,L11,6,stimulus,ItemScore,113066,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I3, I4]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,102,L11,6,stimulus,SnapshotRef,113066,http://localhost:8080/cba-runtime/item?custom_service_handler=downloadService&file=/usr/local/jboss-web-2.1.2.GA/temp/snapshot4464370044983830414.xml
ZA6712_US.data,102,L11,6,stimulus,gotoFrame,113066,C308A121
ZA6712_US.data,105,L11,6,stimulus,cba_event,169934,"<cbaloggingmodel:CBAItemLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" name=""de.softcon.cba.runtime.st308balticstock-1278523942"" entryPoint=""C308A120""/> "
ZA6712_US.data,105,L11,6,stimulus,cba_event,192062,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I4"" isSelected=""true""/> "
ZA6712_US.data,105,L11,6,stimulus,cba_event,192690,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I3"" isSelected=""true""/> "
ZA6712_US.data,105,L11,6,taoPIAAC,NEXT_INQUIRY,193927,REQUEST
ZA6712_US.data,105,L11,6,taoPIAAC,NEXT_BUTTON,193927,id=nextInquiry_button
ZA6712_US.data,105,L11,6,taoPIAAC,BUTTON,193928,id=nextInquiry_button
ZA6712_US.data,105,L11,6,taoPIAAC,DOACTION,193928,action=tao_item.nextInquiry
ZA6712_US.data,105,L11,6,stimulus,itemScoreResult,193997,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I4, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,105,L11,6,stimulus,ItemScore,193997,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I4, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,105,L11,6,stimulus,SnapshotRef,193998,http://localhost:8080/cba-runtime/item?custom_service_handler=downloadService&file=/usr/local/jboss-web-2.1.2.GA/temp/snapshot5499064364536923776.xml
ZA6712_US.data,105,L11,6,stimulus,gotoFrame,193998,C308A121
ZA6712_US.data,121,L11,6,stimulus,cba_event,150949,"<cbaloggingmodel:CBAItemLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" name=""de.softcon.cba.runtime.st308balticstock-1278523942"" entryPoint=""C308A120""/> "
ZA6712_US.data,121,L11,6,stimulus,cba_event,169087,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I4"" isSelected=""true""/> "
ZA6712_US.data,121,L11,6,stimulus,cba_event,171307,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I3"" isSelected=""true""/> "
ZA6712_US.data,121,L11,6,taoPIAAC,NEXT_INQUIRY,177500,REQUEST
ZA6712_US.data,121,L11,6,taoPIAAC,NEXT_BUTTON,177500,id=nextInquiry_button
ZA6712_US.data,121,L11,6,taoPIAAC,BUTTON,177502,id=nextInquiry_button
ZA6712_US.data,121,L11,6,taoPIAAC,DOACTION,177502,action=tao_item.nextInquiry
ZA6712_US.data,121,L11,6,stimulus,itemScoreResult,177574,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I4, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,121,L11,6,stimulus,ItemScore,177575,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I4, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,121,L11,6,stimulus,SnapshotRef,177575,http://localhost:8080/cba-runtime/item?custom_service_handler=downloadService&file=/usr/local/jboss-web-2.1.2.GA/temp/snapshot2675577645709575835.xml
ZA6712_US.data,121,L11,6,stimulus,gotoFrame,177575,C308A121
ZA6712_US.data,124,L11,6,stimulus,cba_event,87013,"<cbaloggingmodel:CBAItemLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" name=""de.softcon.cba.runtime.st308balticstock-1278523942"" entryPoint=""C308A120""/> "
ZA6712_US.data,124,L11,6,stimulus,cba_event,103677,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I2"" isSelected=""true""/> "
ZA6712_US.data,124,L11,6,stimulus,cba_event,105035,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I3"" isSelected=""true""/> "
ZA6712_US.data,124,L11,6,taoPIAAC,NEXT_INQUIRY,112001,REQUEST
ZA6712_US.data,124,L11,6,taoPIAAC,NEXT_BUTTON,112001,id=nextInquiry_button
ZA6712_US.data,124,L11,6,taoPIAAC,BUTTON,112003,id=nextInquiry_button
ZA6712_US.data,124,L11,6,taoPIAAC,DOACTION,112003,action=tao_item.nextInquiry
ZA6712_US.data,124,L11,6,stimulus,itemScoreResult,112073,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""false"" nbHits=""0"" hitWeight=""0"" nbMisses=""1"" missWeight=""1"" nbInteractions=""2"">   <missList name=""C308A120M1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I2, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,124,L11,6,stimulus,ItemScore,112073,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""false"" nbHits=""0"" hitWeight=""0"" nbMisses=""1"" missWeight=""1"" nbInteractions=""2"">   <missList name=""C308A120M1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I2, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,124,L11,6,stimulus,SnapshotRef,112073,http://localhost:8080/cba-runtime/item?custom_service_handler=downloadService&file=/usr/local/jboss-web-2.1.2.GA/temp/snapshot7538992241325956687.xml
ZA6712_US.data,124,L11,6,stimulus,gotoFrame,112073,C308A121
ZA6712_US.data,13,L11,6,stimulus,cba_event,60475,"<cbaloggingmodel:CBAItemLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" name=""de.softcon.cba.runtime.st308balticstock-1278523942"" entryPoint=""C308A120""/> "
ZA6712_US.data,13,L11,6,stimulus,cba_event,86634,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I4"" isSelected=""true""/> "
ZA6712_US.data,13,L11,6,stimulus,cba_event,91881,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I13"" isSelected=""true""/> "
ZA6712_US.data,13,L11,6,taoPIAAC,NEXT_INQUIRY,93212,REQUEST
ZA6712_US.data,13,L11,6,taoPIAAC,NEXT_BUTTON,93212,id=nextInquiry_button
ZA6712_US.data,13,L11,6,taoPIAAC,BUTTON,93213,id=nextInquiry_button
ZA6712_US.data,13,L11,6,taoPIAAC,DOACTION,93213,action=tao_item.nextInquiry
ZA6712_US.data,13,L11,6,stimulus,itemScoreResult,93289,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""false"" nbHits=""0"" hitWeight=""0"" nbMisses=""1"" missWeight=""1"" nbInteractions=""2"">   <missList name=""C308A120M1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I4, I13]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
